id,name,city,state,country,num_bedroom,num_bed,num_bathroom,total_accomodation,host_name,host_id,latitude,longitude,room_type,picture_url,amenities,rating_overall,rating_review_count,rating_cleanliness,rating_check_in,rating_accuracy,rating_location,rating_value,rating_communication
23670841,"Happy Home - Rogers
Purple/king mattress!",Rogers,Arkansas,United States,2,2,1,55.0,Cheryl,63737772,36.40013,-94.10778,Entire home/apt,https://a0.muscache.com/im/pictures/506d155d-a6cf-4c65-bc9c-03d4d70ec4b1.jpg?im_w=720,"[1, 4, 5, 8, 9, 394, 139, 657, 23, 280, 665, 30, 31, 671, 672, 33, 34, 35, 36, 39, 40, 41, 42, 44, 45, 46, 47, 51, 308, 54, 57, 61, 322, 73, 74, 77, 79, 85, 86, 89, 90, 91, 92, 93, 94, 95, 96, 99, 611, 100, 101, 104, 236, 625, 626, 251]",4.89,35,5.0,4.9,4.9,4.7,4.9,5.0
51060874,Casita Royale - Downtown Rogers,Rogers,Arkansas,United States,1,2,1,105.0,Kailee,81650208,36.33505,-94.12265,Entire home/apt,https://a0.muscache.com/im/pictures/644569ca-7379-4a17-9cec-d17f96a38e0b.jpg?im_w=720,"[1, 4, 5, 8, 9, 77, 16, 89, 90, 91, 92, 93, 30, 94, 95, 96, 33, 34, 35, 36, 40, 41, 44, 45, 46, 47, 51, 53, 57]",4.92,159,4.9,5.0,5.0,4.9,4.9,4.9
867244588542353984,New! Peaceful Casa Azul near downtown Rogers,Rogers,Arkansas,United States,2,2,2,82.0,Kara,371425946,36.34263,-94.12945,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-867244588542353984/original/b74c314b-695f-4985-ba36-3e1e80513e8f.png?im_w=720,"[1, 4, 5, 8, 9, 137, 394, 139, 657, 23, 663, 280, 665, 30, 415, 671, 672, 33, 34, 35, 36, 39, 40, 41, 44, 47, 51, 179, 308, 53, 57, 61, 322, 72, 77, 79, 85, 86, 89, 90, 91, 92, 93, 94, 95, 96, 98, 99, 611, 100, 103, 104, 236, 625, 626, 251, 510]",4.82,17,4.7,4.9,4.9,4.8,4.8,4.9
43318256,FriscoLanding Suite Private Entry Downtown Rogers,Rogers,Arkansas,United States,1,2,1,70.0,David,42239420,36.32931,-94.12191,Entire home/apt,https://a0.muscache.com/im/pictures/fd33ce9c-a5aa-40c7-b1c6-4e374081a618.jpg?im_w=720,"[1, 2, 4, 5, 8, 392, 9, 137, 394, 139, 12, 657, 23, 280, 665, 27, 667, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 172, 45, 46, 47, 51, 179, 53, 56, 57, 322, 73, 77, 79, 85, 86, 87, 89, 90, 91, 219, 92, 476, 93, 94, 95, 96, 98, 99, 611, 100, 101, 104, 625, 626, 248, 251]",4.99,218,5.0,5.0,5.0,5.0,5.0,5.0
581948164826052911,Airy duplex minutes to dwntn Rogers + Bentonville,Rogers,Arkansas,United States,2,2,1,113.0,Davis And Niki,71192718,36.34369,-94.15566,Entire home/apt,https://a0.muscache.com/im/pictures/8d85d936-4175-4545-877d-3f610efa8b05.jpg?im_w=720,"[1, 322, 4, 5, 8, 9, 139, 77, 79, 657, 85, 23, 89, 665, 90, 91, 92, 476, 93, 30, 94, 95, 671, 96, 33, 34, 98, 35, 611, 36, 37, 101, 39, 40, 41, 44, 236, 45, 46, 47, 625, 51, 52, 308, 57, 251, 61]",,,,,,,
831819819905150339,Treehouse on the Trail,Rogers,Arkansas,United States,1,1,1,76.0,Eddie,489387540,36.3383805879333,-94.1175891790985,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-831819819905150339/original/20d6298e-4a71-4376-9cbf-35ea917ff867.jpeg?im_w=720,"[1, 4, 5, 8, 9, 137, 139, 657, 280, 665, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 46, 51, 179, 308, 53, 57, 322, 77, 79, 85, 86, 89, 90, 91, 92, 476, 93, 94, 95, 96, 99, 611, 100, 101, 104, 236, 625, 626, 251, 510]",5.0,12,4.8,5.0,5.0,5.0,4.9,5.0
53204484,Entire 2bdr. home in Historic Downtown Rogers Ar,Rogers,Arkansas,United States,2,2,1,82.0,Jacob,154107102,36.32795,-94.12512,Entire home/apt,https://a0.muscache.com/im/pictures/77a65672-8644-42bb-a57b-fc05da3b78ea.jpg?im_w=720,"[1, 4, 5, 8, 392, 9, 394, 139, 12, 657, 663, 280, 665, 30, 415, 671, 672, 35, 36, 37, 39, 40, 41, 44, 45, 46, 51, 308, 54, 57, 61, 322, 74, 77, 79, 85, 86, 89, 90, 91, 219, 476, 93, 94, 95, 96, 98, 100, 101, 103, 104, 625, 251, 510]",,,,,,,
37554041,"Downtown Rogers, Railyard Bike Park, Lake Atlanta",Rogers,Arkansas,United States,2,3,1,81.0,Connie,59662037,36.3244,-94.11224,Entire home/apt,https://a0.muscache.com/im/pictures/b4bcae3c-ae91-425c-9c9b-1f90bd6db946.jpg?im_w=720,"[1, 4, 5, 8, 9, 139, 77, 79, 85, 86, 89, 665, 90, 91, 93, 30, 94, 95, 415, 96, 672, 33, 34, 98, 35, 611, 36, 100, 37, 101, 39, 40, 104, 41, 44, 236, 45, 46, 51, 627, 52, 308, 57, 251, 61]",,,,,,,
694006842819193335,Entire 2brd/1 bath full home in Downtown Rogers,Rogers,Arkansas,United States,2,3,1,78.0,Jacob,154107102,36.32929,-94.12301,Entire home/apt,https://a0.muscache.com/im/pictures/d5b1dab1-4747-45dd-9213-f7e111aab9fc.jpg?im_w=720,"[1, 4, 5, 8, 392, 9, 394, 139, 12, 657, 663, 280, 665, 30, 415, 671, 672, 35, 36, 37, 39, 40, 41, 44, 45, 46, 47, 51, 308, 54, 57, 61, 74, 77, 79, 85, 86, 89, 90, 91, 92, 476, 93, 94, 95, 96, 98, 611, 100, 101, 103, 104, 625, 510]",4.79,70,4.9,5.0,4.9,4.8,4.8,5.0
628423170147552234,712B On the Alley--Private Adorable GuestHouse,Rogers,Arkansas,United States,1,1,1,78.0,Paula,459461467,36.33904,-94.11898,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-628423170147552234/original/469fc408-fe8e-468c-8bec-d8e568b83900.jpeg?im_w=720,"[1, 322, 4, 5, 8, 9, 77, 79, 145, 657, 85, 86, 663, 280, 89, 665, 90, 91, 93, 30, 94, 95, 415, 96, 672, 35, 36, 100, 37, 39, 40, 104, 41, 44, 45, 625, 626, 51, 308, 53, 57, 251, 61, 510]",,,,,,,
